Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
PT And      ;00 40 24.4;+41 04 03;DN;SU;22.0; 0.056000;       ;       ;    ;      ;
GS Cet      ;00 50 50.9;+00 09 13;DN;  ;20.4; 0.056000;       ;       ;    ;      ;
VV Equ      ;21 16 05.4;+11 34 08;DN;  ;22.1; 0.056000;       ;       ;    ;      ;
CI Gru      ;21 33 06.8;-42 28 52;DN;SU;16.5; 0.056000;       ;       ;    ;      ;
IK Leo      ;10 21 46.4;+23 49 26;DN;SU;19.7; 0.056000;       ;       ;    ;      ;
J0132-1043  ;01 32 02.7;-10 43 57;DN;SU;20.8; 0.056000;       ;       ;    ;      ;
J0206+2057  ;02 06 33.4;+20 57 08;DN;SU;18.6; 0.056000;       ;       ;    ;      ;
J0558+3915  ;05 58 45.5;+39 15 33;DN;SU;18.2; 0.056000;       ;       ;    ;      ;
J0611+4041  ;06 11 28.0;+40 41 09;DN;SU;21.0; 0.056000;       ;       ;    ;      ;
J0852-0844  ;08 52 28.6;-08 44 11;DN;SU;22.1; 0.056000;       ;       ;    ;      ;
V2828 Ori   ;06 19 59.9;+19 26 59;DN;SU;20.6; 0.056000;       ;       ;    ;      ;
J0933+1028  ;09 33 09.4;+10 28 02;DN;SU;20.5; 0.056000;       ;       ;    ;      ;
J1105-4257  ;11 05 49.4;-42 57 30;DN;SU;21.9; 0.056000;       ;       ;    ;      ;
J1908-5831  ;19 08 47.2;-58 31 07;DN;SU;22.0; 0.056000;       ;       ;    ;      ;
J2037-3012  ;20 37 06.8;-30 12 22;DN;SU;17.2; 0.056000;       ;       ;    ;      ;
J2051-0358  ;20 51 46.2;-03 58 27;DN;SU;20.7; 0.056000;       ;       ;    ;      ;
J2247+2504  ;22 47 36.4;+25 04 36;DN;SU;22.0; 0.056000;       ;       ;    ;      ;
HV And      ;00 40 55.3;+43 24 59;NL;SH;15.0; 0.055990;       ;       ;    ;      ;
FI Cet      ;01 51 18.6;-02 23 01;DN;SU;20.7; 0.055940;       ;       ;    ;      ;
V406 Vir    ;12 38 13.7;-03 39 33;DN;SU;17.1; 0.055900;L4     ;       ;    ; 1.000; 0.070
J0947+0610  ;09 47 59.8;+06 10 44;DN;SU;20.4; 0.055880;       ;       ;    ;      ;
V1247 Her   ;17 11 45.1;+30 13 20;  ;  ;20.3; 0.055800;       ;       ;    ;      ;
V592 Her    ;16 30 56.5;+21 16 58;DN;SU;20.5; 0.055700;       ;       ;    ;      ;
J1212+0416  ;12 12 40.4;+04 16 56;DN;SU;20.5; 0.055630;       ;       ;    ;      ;
FH UMa      ;10 47 09.9;+63 35 14;NL;AM;18.5; 0.055600;       ;       ;    ;      ;
J0154-5947  ;01 54 01.0;-59 47 49;NL;AM;15.8; 0.055600;       ;       ;    ;      ;
J0613+3957  ;06 13 35.3;+39 57 15;DN;SU;22.0; 0.055600;       ;       ;    ;      ;
J0528+2838  ;05 28 32.7;+28 38 38;NL;AM;14.5; 0.055592;       ;       ;    ;      ;
V500 And    ;00 42 26.5;+42 15 37;DN;SU;22.8; 0.055500;       ;       ;    ;      ;
GG Leo      ;10 15 34.7;+09 04 42;NL;AM;16.0; 0.055471;       ;       ;63.0; 1.000; 0.090
J1731+2754  ;17 31 25.4;+27 54 29;DN;SU;21.7; 0.055410;       ;       ;    ;      ;
V2176 Cyg   ;19 27 11.6;+54 17 52;DN;SU;20.0; 0.055400;       ;       ;    ;      ;
J0606-6039  ;06 06 02.6;-60 39 03;DN;SU;21.2; 0.055390;       ;       ;    ;      ;
GZ Cet      ;01 37 01.1;-09 12 35;DN;SU;18.6; 0.055351;M1     ;       ;    ;      ;
J0011+0451  ;00 11 33.7;+04 51 23;DN;SU;20.8; 0.055348;       ;       ;    ;      ;
EV UMa      ;13 07 53.9;+53 51 30;NL;AM;17.0; 0.055338;       ;       ;    ;      ;
J0436-5525  ;04 36 21.6;-55 25 07;DN;SU;21.0; 0.055310;       ;       ;    ;      ;
EQ Lyn      ;07 45 31.9;+45 38 30;DN;SU;19.1; 0.055200;       ;       ;    ;      ;
J1839+2221  ;18 39 58.0;+22 21 18;DN;SU;21.0; 0.055200;       ;       ;    ;      ;
LL And      ;00 41 51.5;+26 37 21;DN;SU;19.9; 0.055055;       ;       ;    ;      ;
SV Ari      ;03 25 03.4;+19 49 53;N?;DN;22.1; 0.055000;       ;       ;    ;      ;
V358 Lyr    ;18 59 33.0;+42 24 12;DN;SU;23.2; 0.055000;       ;       ;    ;      ;
J0019+4339  ;00 19 52.2;+43 39 01;DN;SU;22.2; 0.055000;       ;       ;    ;      ;
J0447-3656  ;04 47 23.3;-36 56 02;DN;SU;21.0; 0.055000;       ;       ;    ;      ;
J0500-3207  ;05 00 30.0;-32 07 36;DN;SU;21.8; 0.055000;       ;       ;    ;      ;
J0514+6711  ;05 14 15.6;+67 11 20;DN;SU;22.0; 0.055000;       ;       ;    ;      ;
J0656+7444  ;06 56 08.3;+74 44 55;DN;SU;21.5; 0.055000;       ;       ;    ;      ;
J0858-2740  ;08 58 54.2;-27 40 31;DN;SU;19.3; 0.055000;       ;       ;    ;      ;
J1100-1156  ;11 00 38.1;-11 56 47;DN;SU;20.6; 0.055000;       ;       ;    ;      ;
J1800+5256  ;18 00 05.9;+52 56 33;DN;SU;21.2; 0.055000;       ;       ;    ;      ;
J1845+4831  ;18 45 42.6;+48 31 31;NL;AM;16.6; 0.054908;       ;       ;    ;      ;
HO Cet      ;02 33 21.4;-10 47 04;DN;SU;18.2; 0.054900;       ;       ;    ;      ;
J2351-3027  ;23 51 23.9;-30 27 25;DN;SU;21.7; 0.054880;       ;       ;    ;      ;
V572 And    ;02 22 16.4;+41 23 00;DN;SU;19.5; 0.054870;       ;       ;    ;      ;
J1751-2938  ;17 51 18.8;-29 38 11;NL;AM;22.7; 0.054730;       ;       ;    ;      ;
V844 Her    ;16 25 01.7;+39 09 27;DN;SU;17.0; 0.054643;       ;       ;    ;      ;
DI UMa      ;09 12 16.2;+50 53 55;DN;SU;19.0; 0.054570;       ;       ;    ;      ;
J2305-0225  ;23 05 23.3;-02 25 49;DN;SU;19.8; 0.054560;       ;       ;    ;      ;
V627 Peg    ;21 38 06.7;+26 19 57;DN;SU;16.6; 0.054523;       ;       ;75.0; 0.740; 0.130
J1853+4203  ;18 53 28.8;+42 03 44;DN;SU;19.7; 0.054420;       ;       ;    ;      ;
BW Scl      ;23 53 00.7;-38 51 46;DN;SU;16.4; 0.054323;       ;       ;    ;      ;
J1433+1011  ;14 33 17.8;+10 11 23;DN;  ;18.2; 0.054241;L1-3   ;       ;84.4; 0.865; 0.057
J1126+0846  ;11 26 19.4;+08 46 51;DN;SU;21.8; 0.054230;       ;       ;    ;      ;
PR Her      ;18 08 04.4;+38 46 17;DN;SU;21.0; 0.054220;       ;       ;    ;      ;
V4738 Sgr   ;20 22 37.5;-39 54 13;NL;AM;18.5; 0.054179;       ;       ;    ;      ;
J1457+5148  ;14 57 58.2;+51 48 08;DN;SU;20.2; 0.054087;       ;       ;    ;      ;
CV Hyi      ;01 32 42.0;-65 54 32;NL;AM;19.7; 0.054049;       ;       ;    ;      ;
J0221+7322  ;02 21 02.8;+73 22 45;DN;SU;20.4; 0.054000;       ;       ;    ;      ;
J0413+0945  ;04 13 50.0;+09 45 15;DN;SU;    ; 0.054000;       ;       ;    ;      ;
J1435+2336  ;14 35 44.0;+23 36 39;DN;  ;18.2; 0.054000;       ;       ;    ;      ;
J1605+2405  ;16 05 48.0;+24 05 31;DN;SU;19.8; 0.054000;       ;       ;    ;      ;
UW Tri      ;02 45 17.3;+33 31 26;DN;SU;22.6; 0.053340;       ;       ;    ;      ;
GW Lib      ;15 19 55.5;-25 00 25;DN;SU;16.0; 0.053320;M9V   :;DAZQ   ;11.2; 0.840; 0.050
J2141+0507  ;21 41 40.4;+05 07 30;DN;  ;18.9; 0.053000;       ;       ;    ;      ;
KN Cet      ;02 42 42.9;-11 46 45;DN;BD;17.0; 0.052985;       ;       ;85.2; 0.730; 0.064
J0557+6832  ;05 57 18.5;+68 32 27;DN;SU;19.0; 0.052900;       ;       ;    ;      ;
J1944+4912  ;19 44 19.3;+49 12 57;DN;SU;22.0; 0.052816;       ;       ;    ;      ;
CT Tri      ;02 38 39.1;+35 56 49;DN;SU;21.7; 0.052810;       ;       ;    ;      ;
V1265 Tau   ;03 29 12.3;+12 50 18;DN;SU;21.0; 0.052800;       ;       ;    ;      ;
V681 Peg    ;23 27 27.2;+08 55 39;DN;SU;21.4; 0.052770;       ;       ;    ;      ;
J1454+5624  ;14 54 03.2;+56 24 57;DN;  ;22.1; 0.051000;       ;       ;    ;      ;
J0036+2151  ;00 36 35.8;+21 51 26;DN;SU;21.6; 0.050461;       ;       ;    ;      ;
J0811-1227  ;08 11 50.6;-12 27 51;DN;SU;16.8; 0.049320;       ;       ;    ;      ;
V574 Pup    ;07 41 53.6;-27 06 38;Na;  ;17.9; 0.047200;       ;       ;    ;      ;
OV Boo      ;15 07 22.3;+52 30 40;DN;ZZ;18.1; 0.046258;       ;       ;83.5; 0.890; 0.058
J1122-1110  ;11 22 53.3;-11 10 38;DN;SU;20.5; 0.045300;       ;       ;    ;      ;
V396 Hya    ;13 12 46.9;-23 21 31;AC;NL;17.7; 0.045190;       ;       ;    ;      ;
J1740+4147  ;17 40 33.5;+41 47 56;DN;SU;21.0; 0.045048;       ;       ;    ;      ;
EI Psc      ;23 29 54.3;+06 28 11;DN;SU;15.9; 0.044567;K2-6   ;       ;50.0; 0.650; 0.130
V418 Ser    ;15 14 53.6;+02 09 35;DN;SU;20.3; 0.044000;       ;       ;    ;      ;
J2333-1557  ;23 33 13.0;-15 57 44;DN;SU;21.3; 0.042830;       ;       ;    ;      ;
J1137+4054  ;11 37 32.3;+40 54 58;AC;NL;19.0; 0.041000;       ;       ;    ;      ;
V485 Cen    ;12 57 23.3;-33 12 07;DN;SU;18.0; 0.040995;       ;       ;    ;      ;
J1940+4632  ;19 40 16.2;+46 32 48;DN;  ;22.5; 0.039276;       ;       ;    ;      ;
J1552+3201  ;15 52 52.5;+32 01 51;AC;NL;19.3; 0.039078;       ;       ;    ;      ;
1108+5728   ;11 11 26.8;+57 12 39;DN;SU;19.2; 0.038450;       ;       ;    ;      ;
J1642+1934  ;16 42 28.1;+19 34 10;AC;NL;20.3; 0.038000;       ;       ;    ;      ;
J1208+3550  ;12 08 42.0;+35 50 25;AC;NL;18.8; 0.036800;       ;       ;    ;      ;
J1028-0819  ;10 28 42.9;-08 19 27;DN;SU;19.1; 0.036200;       ;       ;    ;      ;
J1505+0659  ;15 05 51.6;+06 59 49;AC;NL;19.1; 0.035000;       ;       ;    ;      ;
J1611+6308  ;16 11 34.0;+63 08 32;AC;DN;18.7; 0.034519;       ;       ;90.0; 0.780; 0.015
J0354-1652  ;03 54 10.3;-16 52 50;NL;AM;17.2; 0.033600;       ;       ;    ;      ;
J0902+3819  ;09 02 21.4;+38 19 42;AC;DN;20.2; 0.033550;       ;       ;    ;      ;
J0450-0931  ;04 50 19.8;-09 31 13;AC;DN;21.0; 0.032830;       ;       ;    ;      ;
GP Com      ;13 05 42.9;+18 01 03;AC;NL;15.6; 0.032339;       ;       ;56.0; 0.570; 0.011
J0437+3702  ;04 37 58.8;+37 02 59;DN;SU;21.2; 0.032000;       ;       ;    ;      ;
J1411+4812  ;14 11 18.3;+48 12 58;AC;NL;19.4; 0.032000;       ;       ;    ;      ;
J2348+2502  ;23 48 43.2;+25 02 50;AC;DN;20.2; 0.032000;       ;       ;    ;      ;
J0804+1616  ;08 04 49.5;+16 16 25;AC;NL;18.0; 0.030900;       ;       ;    ;      ;
J1525+3600  ;15 25 09.6;+36 00 55;AC;DN;19.8; 0.030800;       ;       ;    ;      ;
J0713+2055  ;07 13 27.3;+20 55 54;AC;DN;17.6; 0.028139;       ;       ;    ;      ;
J0255-4750  ;02 55 33.3;-47 50 42;AC;DN;18.6; 0.027808;       ;       ;    ;      ;
J1721+2733  ;17 21 02.5;+27 33 01;AC;DN;21.6; 0.027000;       ;       ;    ;      ;
J0011-5541  ;00 11 59.4;-55 41 51;AC;DN;20.2; 0.026580;       ;       ;    ;      ;
V744 And    ;01 29 40.1;+38 42 10;AC;DN;21.0; 0.026080;       ;       ;    ;      ;
J1240-0159  ;12 40 58.0;-01 59 19;AC;NL;19.7; 0.025941;       ;DB     ;    ;      ;
V558 Vir    ;14 27 01.6;-01 23 10;AC;DN;21.0; 0.025390;       ;       ;    ;      ;
J0355-8226  ;03 55 17.8;-82 26 12;AC;DN;19.1; 0.025230;       ;       ;    ;      ;
J1730+5545  ;17 30 47.6;+55 45 19;AC;DN;18.5; 0.024400;       ;       ;11.0;      ;
J0435+0029  ;04 35 17.7;+00 29 41;AC;DN;22.0; 0.024000;       ;       ;    ;      ;
V406 Hya    ;09 05 54.8;-05 36 09;AC;DN;20.5; 0.023470;       ;       ;    ;      ;
J0943+1029  ;09 43 29.6;+10 29 58;AC;DN;20.7; 0.021000;       ;       ;    ;      ;
J1538-3035  ;15 38 38.2;-30 35 49;AC;DN;20.0; 0.020000;       ;       ;    ;      ;
CP Eri      ;03 10 32.8;-09 45 05;AC;DN;19.7; 0.019692;       ;DBAZ   ;    ;      ;
YZ LMi      ;09 26 38.7;+36 24 02;AC;DN;20.3; 0.019661;       ;       ;82.6; 0.850; 0.035
J0208+3732  ;02 08 04.2;+37 32 17;AC;DN;17.5; 0.019300;       ;       ;    ;      ;
J0719+4858  ;07 19 12.1;+48 58 35;AC;DN;19.5; 0.018590;       ;       ;    ;      ;
V803 Cen    ;13 23 44.5;-41 44 30;AC;DN;16.8; 0.018480;       ;       ;13.5; 0.980; 0.074
J1832-0840  ;18 32 19.3;-08 40 30;NL;IP;21.1; 0.017966;       ;       ;    ;      ;
KL Dra      ;19 24 38.3;+59 41 47;AC;DN;19.2; 0.017382;       ;       ;    ; 0.760; 0.057
CR Boo      ;13 48 55.3;+07 57 35;AC;DN;17.2; 0.017029;       ;       ;30.0; 0.890; 0.064
J2139-5959  ;21 39 48.2;-59 59 32;AC;DN;19.8; 0.016000;       ;       ;    ;      ;
J1919+4815  ;19 19 05.2;+48 15 06;AC;DN;21.8; 0.015594;       ;       ;76.0;      ;
HP Lib      ;15 35 53.1;-14 13 12;AC;NL;13.6; 0.012763;       ;       ;30.0; 0.650; 0.068
J1908+3940  ;19 08 17.1;+39 40 36;AC;NL;16.1; 0.012559;       ;       ;    ;      ;
AM CVn      ;12 34 54.6;+37 37 43;AC;NL;14.1; 0.011907;       ;       ;43.0; 0.710; 0.130
ES Cet      ;02 00 52.2;-09 24 32;AC;NL;16.7; 0.007178;       ;       ;    ;      ;
V407 Vul    ;19 14 26.1;+24 56 43;AC;NL;18.2; 0.006590;       ;       ;    ;      ;
HM Cnc      ;08 06 23.0;+15 27 31;AC;NL;21.1; 0.003721;       ;       ;38.0; 0.550; 0.270
J0043+4117  ;00 43 19.8;+41 17 58;NL;IP;    ;         ;       ;       ;    ;      ;
J0525+2413  ;05 25 22.7;+24 13 33;NL;IP;16.4;         ;       ;       ;    ;      ;
J0614+1704  ;06 14 12.3;+17 04 33;NL;IP;17.8;         ;       ;       ;    ;      ;
J0820-2804  ;08 20 34.1;-20 04 59;NL;IP;16.2;         ;       ;       ;    ;      ;
J1740-3014  ;17 40 35.6;-30 14 16;NL;IP;    ;         ;       ;       ;    ;      ;
J1748-2807  ;17 48 16.9;-28 07 50;NL;IP;    ;         ;       ;       ;    ;      ;
J1803-3000  ;18 03 54.5;-30 00 06;NL;IP;21.7;         ;       ;       ;    ;      ;
J1804-2739  ;18 04 30.4;-27 39 32;NL;IP;17.3;         ;       ;       ;    ;      ;
J1804-1456  ;18 04 38.9;-14 56 47;NL;IP;18.0;         ;       ;       ;    ;      ;
J2015+3711  ;20 15 37.0;+37 11 23;NL;IP;18.0;         ;       ;       ;    ;      ;
J2138+5544  ;21 38 50.0;+55 44 05;NL;IP;18.0;         ;       ;       ;    ;      ;
J2224+17    ;22 24 00.0;+17 00 00;NL;IP;17.6;         ;       ;       ;    ;      ;
